sids,enrolled_courses
fe7f3409dbef4e7a90ab9643e8edaf74,""""""
107239c5a4b395dda5876eb41a29f945,""""""
7dc388d8cdd4c2e0425f7a9ff2ba9304,""""""
abe1406f865a3924b45e9fa026794c20,""""""
f530d3d1a69a169d7110e1fcb48939ec,""""""
f1882b0495004c1e9be54a0d81dfd85b,""""""
bb4cf42cb46f85ab0bfba0dda0919a49,""""""
12b86850a444d8d667922189331442a0,""""""
254bc9a6aa1153ec3502c590f19e8ed4,""""""
65b78424ac23d7bafccf09e6e2692a83,""""""
3d76545e7a4b77d2982df46664f60f85,""""""
4cc76f1a8cf54272ad5b5b789e1a540b,""""""
0b820eb54349cb14298c62ae2bc265f0,""""""
170e2cec52ab53340fc5dc0f10856fdc,""""""
be91d7d09df9979c1ba677e6a369ce80,""""""
a83c2314db61247c78ca667e764eb137,""""""
284228cf2d332378cf917b93ee077a13,""""""
fb8530550c9c13687c95c51866153765,""""""
5faa73eb0ec6c2daa26c72568369f7ca,""""""
702991d44528eb54ba6fdcffb1cf22ca,""""""
ea1689ebbc73f5566d5d92eae6b9db9e,""""""
0278626dd8e33639d94cdfc07d5e7922,""""""
6bff20d7de33f366f5305feaa72b650f,""""""
671a293599230eb39d7a2eaf7e120275,""""""
6f7007dae6814c5138339a177a7cf8d1,""""""
ad170a235c454a7d513fb91cd1acde2b,""""""
ccdc84dec8a844f71a14c61393d96e71,""""""
857b8783f15cba972a25c01eec89bc1f,""""""
df7cad7af9d018a142e7205b4588166f,""""""
deb09e83572947adaa340483b6df5e4a,""""""
3370436c289f257390d10ac2a02024d7,""""""
fd7f7c67f50fd8345f5c317ecdbf05e2,""""""
af7d7f14c19e5e7ede2fc1d59cb34f31,""""""
5a86ce205ad3a06d31e22145aa4f2627,""""""
61acc18991da9f454bd6f678fd5c90dd,""""""
ff2d501e71899c2a56299a6640109b77,""""""
a5ea7c59eb8679cb6b96bacb659e56b8,""""""
f3c6faa5ebfac4541d9cc873820bb81c,""""""
e8a0e7f126b372ed2bd3c6d4853e2c51,""""""
14ec12638d46cb4f15aee58a2c221df3,""""""
cd03ca2117c691bbfa1e6ec94be3416d,""""""
78bf31f9c76e2b4e7a74094c0407a705,""""""
475c58e1fa4aae976f4afc57ae42135b,""""""
1fb0810604fb2f012b218dffcf97eca1,""""""
a84c69b577cc7cb91a0500280c219e50,""""""
1281968605f3b432eea71327747d797d,""""""
678a6d0fc3c50ca782f8847771fcec6a,""""""
e1127e8b8f366e5d1b4749409a984b99,""""""
ed3643d25dd9054727b8bc1dd5578cd8,""""""
c8d1411805f91a285c899124f7548304,""""""
8f011794396e90bc0ba2c004662ff24c,""""""
b62cf09e77c42bb0890dc92b934d3632,""""""
a7c279c6c902bf7c5020a84a5b78785c,""""""
d1acd7e70490b633e30419d65ecd41b7,""""""
a3922545a4bc128e259072e18099a669,""""""
979db670063e9c50a48b1989353d5990,""""""
d9bb580c4591d2e853ba998e26b11328,""""""
3a7ebf5e50c411bbf4195eb081bf4520,""""""
b359b1fd5129bf0ed3b565dae446dabe,""""""
9ad2628cdffffc1822e03e233dd9c4ee,""""""
a9370c749bc1a75566895f81d2bdf2e0,""""""
efaa1e384ce0edf971b56fc5d7120a83,""""""
2e29c3fd99a5e0938f0fe041a4913f76,""""""
417aa3cd08ddbe16702e033b10ef827c,""""""
33456f8f641a9a377b6ee8c92ce250e9,""""""
0c7969de9605440c19046c5c25433fd1,""""""
c8a06808039f38e39943c505c67ab391,""""""
7f97f975253276c38d84d87187c031fe,""""""
513b3cd77ccb4b3a93074684b59b8dff,""""""
e754c1b54be1e607b64a2f39e2b5a455,""""""
7246c54013cf76c54db33a8535a7d8eb,""""""
36eb7748e760b215ee4d9e15cc43ef41,""""""
e53a715ff3825f903da48bac63debe1f,""""""
7e19795d3b7f683f0270f10ec96c57bf,""""""
b5b9390c2338b93584f6dde201112c73,""""""
f6ea549b512c2549e393d9da9a08f3ce,""""""
1d1260e8417438c2f65356b539b6624b,""""""
c2182a632db6c73cc3aa75ade5a05208,""""""
c31b8c3b7fa11cb8a55c6a1ca87e3b28,""""""
23ded696cf8c5310a6a012c811949284,""""""
2f7e767484ca2c47c7cb59cd4343e6a1,""""""
ec2cd60a08b380b5fea1fb14a380aa9b,""""""
4d51c921345f38384c5f6b2ea40dd7f0,""""""
7e06e137e111e957faf19204dda01680,""""""
2d2c6da4690b3891c884310f63d97700,""""""
3c90afe858a2d4db59cf1292423bd4fe,""""""
0f682ad5b92b97ba118afd210b81f7dc,""""""
5c4157a406fc76615d968efddc9c7aa6,""""""
187134ef44c5e01830790f9c65cb7379,""""""
450da3a87d37da4f15974b6b5f140e92,""""""
9ff28b2b7a36dbbf450c75b74fac9f15,""""""
578e0ac5e951ecca97b0799ea3e000f8,""""""
d6797e97491b14acfce851c6869de6e7,""""""
ab3caa4ef0b31e6d16ff3c7a488c3d13,""""""
e9c2d26e157403079e0d9a79c4f8d5ce,""""""
05cfc6af7bfde8fd0d4cd486791ad1ed,""""""
6a23efe1d1f183475f7f4d29939b2d39,""""""
d9a5c625abd0bb5f720f54e079bbcfc5,""""""
7bcd71fb80515b422d3501c8ad6a9295,""""""
f60a7235f0591c8a96b4dd73b33dcc14,""""""
ab6dc69017fb5e9f695d76f936603313,""""""
a4b769368fb3dfdf8a1b0a4eb7f18d69,""""""
553afdeae212e1c96246d351333235b7,""""""
61e82a022c129bd0d11feeb94c6c7af2,""""""
b3fd7a355386609aba0794bf8ef8ad76,""""""
e0d078631064298673e9798e9aa2bc3c,""""""
de3879c0bcba36ec4054216a8bb5eaab,""""""
15223690222fc7cd746587346f872176,""""""
603a38ad1df471f0997067389c7adbc5,""""""
6c349c0a5c61aa10c543a44be01849d3,""""""
351b7ea63c6ca25443fb8e3ba98622fa,""""""
94071f61c1c7ef6397bc2bda0200ce52,""""""
74b6eba157ca31c0b1390be8f4a12ec8,""""""
eabfff747496455b1a64fd6903775aa5,""""""
8eebf41a8a7406741bba4f22f9195134,""""""
65ca000b8c98e20a4c652b1e6d17571d,""""""
ee2a1482d79f10fe7ec26f504c209bf3,""""""
326aa4d99ef06f9b6c9ee445a6227017,""""""
82b8fd374ebdded2a87d8dbfdeb8bc11,""""""
70cd7375a1dac8a9a1b159734def2f15,""""""
a90913e9cc6e312a9888d766f419c729,""""""
5a5972ce494a9dd8f797118e1e1b1945,""""""
ef57da205c2216489913369e04f37931,""""""
25764f9135ce47e179a30d1b940253d2,""""""
42e222c0a9cfed0e21fddfe4d4786b68,""""""
83d40e70e664e9a9874a8ea41b80a03b,""""""
1b69f191bbfda7cf9534e39f55b946a5,""""""
a45bdd40520c097f76fe5e7f9110c65d,""""""
a1e95e884cb2efbdc2e0f70ed1389bd0,""""""
1b6e29cf0426856aa4770f11b7870f5b,""""""
3d3ebd454c7f03559305f1ba98f722d6,""""""
a2fab91ad491a48b6f9ddd1a6510e3e3,""""""
3b550b9434fdebe1d84b9829bb6eb4fd,"[""e27d888f06487c279b3af905d1293646""]"
39d09185166a43e6aa696a55e8dfb0da,""""""
6684da85d5aeaad4f63bae27d6280575,""""""
ccf4fed79404adb590a1bb7af6ca5cc2,""""""
387e1fd8e4e487f6a6ab6d0c73180cee,""""""
f25bc24cc8d90e354d59c5b8773977b1,""""""
61e51374094d5732f6a8ec78f1bf5547,""""""
56b604e1c9662c3bf9c6f6414726e34f,""""""
a727dd51172ddb71af59d955e9bae63d,""""""
a92bad18fe4be494d5664fcef444e5f7,""""""
9e41cc8ef37fa95a65e831b5a3955980,""""""
4903a8c1a2a18e008f737a8d5e106607,""""""
e32c2f6107f99823297eaa8bb79f112f,""""""
55ca323328831b7734a5fd16979e403a,""""""
5fad724632a7a62ad0e6d81905209647,""""""
c54901e3a93f015d3b66fdabfc949920,""""""
